#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
3136.5	3.79349402013337e-28
3138	3.78809773442547e-28
3139.5	3.78268592256467e-28
3141	3.77725857217715e-28
3142.5	3.77181567088916e-28
3144	3.76635720632694e-28
3145.5	3.76088316611674e-28
3147	3.75539353788482e-28
3148.5	3.74988830925735e-28
3150	3.7443674678606e-28
3151.5	3.73883100132081e-28
3153	3.73327889726425e-28
3154.5	3.72771114331708e-28
3156	3.72212772710558e-28
3157.5	3.71652863625598e-28
3159	3.71091385839453e-28
3160.5	3.70528338114748e-28
3162	3.69963719214101e-28
3163.5	3.6939752790014e-28
3165	3.68829762935487e-28
3166.5	3.66172079047518e-28
3168	3.63508861026203e-28
3169.5	3.6084010482242e-28
3171	3.58165806387036e-28
3172.5	3.5548596167093e-28
3174	3.52800566624968e-28
3175.5	3.50109617200029e-28
3177	3.47413109346981e-28
3178.5	3.44711039016702e-28
3180	3.42003402160058e-28
3181.5	3.39290194727929e-28
3183	3.36571412671183e-28
3184.5	3.33847051940695e-28
3186	3.31117108487337e-28
3187.5	3.28381578261982e-28
3189	3.25640457215502e-28
3190.5	3.22893741298772e-28
3192	3.20141426462663e-28
3193.5	3.17383508658048e-28
3195	3.14619983835801e-28
3196.5	3.16293514617672e-28
3198	3.179697713612e-28
3199.5	3.1964875588712e-28
3201	3.21330470016171e-28
3202.5	3.2301491556909e-28
3204	3.24702094366615e-28
3205.5	3.26392008229482e-28
3207	3.28084658978429e-28
3208.5	3.29780048434194e-28
3210	3.31478178417515e-28
3211.5	3.33179050749127e-28
3213	3.34882667249769e-28
3214.5	3.36589029740179e-28
3216	3.38298140041093e-28
3217.5	3.40009999973249e-28
3219	3.41724611357384e-28
3220.5	3.43441976014236e-28
3222	3.45162095764542e-28
3223.5	3.46884972429041e-28
3225	3.48610607828466e-28
3226.5	3.46645490489224e-28
3228	3.44676265471803e-28
3229.5	3.42702929807221e-28
3231	3.40725480526496e-28
3232.5	3.38743914660646e-28
3234	3.36758229240688e-28
3235.5	3.3476842129764e-28
3237	3.3277448786252e-28
3238.5	3.30776425966346e-28
3240	3.28774232640135e-28
3241.5	3.26767904914905e-28
3243	3.24757439821674e-28
3244.5	3.2274283439146e-28
3246	3.2072408565528e-28
3247.5	3.18701190644152e-28
3249	3.16674146389093e-28
3250.5	3.14642949921122e-28
3252	3.12607598271256e-28
3253.5	3.10568088470512e-28
3255	3.0852441754991e-28
3256.5	3.11261480842618e-28
3258	3.1400319513426e-28
3259.5	3.16749563547075e-28
3261	3.19500589203299e-28
3262.5	3.22256275225173e-28
3264	3.25016624734933e-28
3265.5	3.27781640854818e-28
3267	3.30551326707066e-28
3268.5	3.33325685413914e-28
3270	3.36104720097603e-28
3271.5	3.38888433880369e-28
3273	3.4167682988445e-28
3274.5	3.44469911232085e-28
3276	3.47267681045511e-28
3277.5	3.50070142446968e-28
3279	3.52877298558693e-28
3280.5	3.55689152502924e-28
3282	3.585057074019e-28
3283.5	3.61326966377856e-28
3285	3.64152932553038e-28
3286.5	3.63543856637228e-28
3288	3.62933212946703e-28
3289.5	3.62321000304444e-28
3291	3.61707217533422e-28
3292.5	3.61091863456622e-28
3294	3.60474936897019e-28
3295.5	3.59856436677592e-28
3297	3.59236361621321e-28
3298.5	3.58614710551183e-28
3300	3.57991482290156e-28
3301.5	3.5736667566122e-28
3303	3.56740289487353e-28
3304.5	3.56112322591532e-28
3306	3.55482773796737e-28
3307.5	3.54851641925946e-28
3309	3.54218925802138e-28
3310.5	3.53584624248291e-28
3312	3.52948736087383e-28
3313.5	3.52311260142393e-28
3315	3.51672195236299e-28
3316.5	3.51421577847431e-28
3318	3.51170074934207e-28
3319.5	3.50917685798323e-28
3321	3.50664409741477e-28
3322.5	3.50410246065365e-28
3324	3.50155194071684e-28
3325.5	3.49899253062133e-28
3327	3.49642422338406e-28
3328.5	3.49384701202203e-28
3330	3.49126088955219e-28
3331.5	3.48866584899152e-28
3333	3.48606188335699e-28
3334.5	3.48344898566557e-28
3336	3.48082714893422e-28
3337.5	3.47819636617993e-28
3339	3.47555663041965e-28
3340.5	3.47290793467037e-28
3342	3.47025027194905e-28
3343.5	3.46758363527266e-28
3345	3.46490801765817e-28
3346.5	3.44619552088449e-28
3348	3.42744528607206e-28
3349.5	3.40865728691688e-28
3351	3.38983149711498e-28
3352.5	3.37096789036239e-28
3354	3.35206644035511e-28
3355.5	3.33312712078917e-28
3357	3.31414990536059e-28
3358.5	3.29513476776538e-28
3360	3.27608168169957e-28
3361.5	3.25699062085918e-28
3363	3.23786155894023e-28
3364.5	3.21869446963873e-28
3366	3.19948932665071e-28
3367.5	3.18024610367218e-28
3369	3.16096477439916e-28
3370.5	3.14164531252769e-28
3372	3.12228769175376e-28
3373.5	3.10289188577341e-28
3375	3.08345786828265e-28
3376.5	3.1132073217169e-28
3378	3.14300599684716e-28
3379.5	3.17285392565446e-28
3381	3.20275114011985e-28
3382.5	3.23269767222435e-28
3384	3.26269355394902e-28
3385.5	3.29273881727488e-28
3387	3.32283349418299e-28
3388.5	3.35297761665437e-28
3390	3.38317121667007e-28
3391.5	3.41341432621113e-28
3393	3.44370697725858e-28
3394.5	3.47404920179347e-28
3396	3.50444103179684e-28
3397.5	3.53488249924971e-28
3399	3.56537363613314e-28
3400.5	3.59591447442816e-28
3402	3.62650504611581e-28
3403.5	3.65714538317713e-28
3405	3.68783551759317e-28
3406.5	3.67973906970035e-28
3408	3.6716240639924e-28
3409.5	3.66349048726932e-28
3411	3.65533832633112e-28
3412.5	3.64716756797782e-28
3414	3.63897819900944e-28
3415.5	3.63077020622599e-28
3417	3.62254357642748e-28
3418.5	3.61429829641393e-28
3420	3.60603435298535e-28
3421.5	3.59775173294176e-28
3423	3.58945042308316e-28
3424.5	3.58113041020958e-28
3426	3.57279168112104e-28
3427.5	3.56443422261753e-28
3429	3.55605802149909e-28
3430.5	3.54766306456571e-28
3432	3.53924933861742e-28
3433.5	3.53081683045424e-28
3435	3.52236552687617e-28
3436.5	3.52488389535148e-28
3438	3.52740263167384e-28
3439.5	3.52992173520467e-28
3441	3.53244120530541e-28
3442.5	3.5349610413375e-28
3444	3.53748124266237e-28
3445.5	3.54000180864145e-28
3447	3.54252273863617e-28
3448.5	3.54504403200798e-28
3450	3.5475656881183e-28
3451.5	3.55008770632857e-28
3453	3.55261008600022e-28
3454.5	3.55513282649469e-28
3456	3.5576559271734e-28
3457.5	3.5601793873978e-28
3459	3.56270320652932e-28
3460.5	3.56522738392938e-28
3462	3.56775191895944e-28
3463.5	3.57027681098091e-28
3465	3.57280205935524e-28
3466.5	3.57201645502834e-28
